gramos
7,52
7,34
8,05
9,10
8,17
3,94
3,27
3,61
5,70
5,25
1,95
9,94
3,23
9,44
9,64
7,57
2,00
4,51
4,13
1,17
1,69
9,27
7,90
5,46
5,74
3,86
2,12
9,78
10,00
9,65
5,08
3,48
3,00
5,15
3,30
1,98
3,42
5,80
5,47
9,20
4,85
3,49
7,20
4,96
8,83
6,16
7,97
5,77
5,07
1,32
5,37
1,56
4,18
4,70
1,58
4,58
3,48
1,92
6,84
1,74
3,68
2,09
6,08
9,95
3,85
6,33
1,55
7,98
4,17
6,36
6,62
7,77
6,41
5,99
6,50
2,96
5,00
2,34
9,12
7,21
8,87
6,04
5,45
9,37
1,14
3,17
1,92
9,36
2,15
6,01
7,02
5,93
8,06
3,42
2,15
9,89
8,27
1,48
6,86
3,88
9,32
6,77
7,79
5,28
9,67
5,03
9,77
5,97
1,91
9,97
8,59
4,02
2,55
5,56
7,38
4,40
6,96
1,80
4,31
5,45
8,31
3,51
3,71
2,65
4,20
9,69
5,41
6,39
3,53
9,27
5,47
3,24
6,82
8,53
6,12
1,98
7,46
1,30
1,52
9,62
2,34
6,81
2,76
5,24
8,10
9,95
1,26
7,81
4,36
5,78
7,52
9,88
3,93
6,74
1,19
6,51
9,46
6,17
3,54
6,80
7,09
8,10
6,88
2,82
3,53
8,62
9,26
5,65
3,66
3,77
5,77
9,43
5,26
7,05
8,78
7,50
9,95
3,92
8,99
8,13
3,96
7,10
5,25
9,81
4,12
7,86
3,96
9,40
4,88
6,18
9,59
6,12
4,22
7,23
7,72
3,65
1,82
7,36
1,30
3,42
9,03
3,23
5,98
8,74
6,81
8,04
8,27
1,65
5,14
3,81
9,06
1,82
6,97
3,66
5,44
4,49
2,17
7,16
3,88
9,08
4,17
3,60
4,64
1,55
5,87
4,44
9,90
2,93
1,73
3,00
2,77
2,15
7,43
8,99
2,89
7,33
9,32
6,77
1,62
8,45
8,74
2,79
1,51
7,69
5,91
1,19
8,09
5,37
1,96
3,25
3,77
6,61
2,74
8,72
1,45
4,38
6,30
6,17
8,55
9,89
1,31
7,80
8,08
5,28
2,35
4,28
5,58
8,35
7,72
5,37
3,56
1,20
4,86
2,51
4,99
4,95
6,81
5,79
5,21
2,46
3,91
6,83
8,64
8,44
3,96
4,18
4,26
1,62
8,13
3,58
4,89
5,92
3,69
6,52
4,88
6,34
1,38
7,04
8,19
4,11
8,81
5,36
8,84
6,76
5,75
3,86
3,69
9,90
2,65
6,74
1,70
1,99
5,31
5,87
2,81
1,43
6,79
7,59
2,70
3,07
8,69
6,52
7,53
4,57
8,14
3,20
3,78
5,27
1,35
3,10
1,98
3,75
6,14
6,60
2,45
3,39
5,51
5,34
3,75
1,13
8,42
3,71
1,51
8,49
8,88
8,47
4,02
4,99
4,54
1,56
2,93
7,35
6,21
8,46
8,98
8,78
8,63
2,24
8,87
2,15
8,21
8,88
1,31
9,68
4,15
1,18
4,65
5,52
6,69
7,46
8,08
3,13
1,83
1,53
6,06
1,00
4,56
8,52
3,38
3,71
1,46
3,73
6,51
5,79
5,95
2,53
9,27
4,16
6,15
6,73
7,29
7,21
8,80
5,98
7,53
3,40
3,04
8,37
3,64
9,64
7,13
7,48
7,83
4,94
3,07
7,61
9,10
8,41
8,73
6,37
1,65
2,98
2,44
7,12
4,82
9,57
8,84
7,44
4,67
2,95
5,78
3,33
3,59
5,89
1,43
3,97
3,29
3,43
9,13
1,05
5,07
8,73
6,61
6,86
8,97
1,54
4,66
6,69
4,91
4,81
8,92
8,81
5,23
2,65
2,70
1,28
4,55
9,04
5,47
5,91
5,86
3,02
4,09
5,09
5,72
5,67
7,20
3,72
5,83
6,80
8,95
6,11
9,38
7,23
6,71
8,40
4,74
4,99
7,16
4,01
1,31
8,49
5,24
4,45
6,76
1,47
3,64
4,59
1,10
1,58
9,31
4,05
3,83
9,41
7,95
8,06
6,22
6,35
6,40
5,37
5,48
6,52
3,30
4,28
7,07
6,99
7,25
1,91
7,12
1,43
8,01
5,88
3,36
9,86
9,70
5,90
8,05
9,43
8,60
7,79
9,75
8,07
2,59
8,96
3,98
1,38
9,70
7,06
7,65
8,81
2,72
5,76
4,98
7,15
